PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Cabin_a,Cabin_b,Cabin_c,Cabin_d,Cabin_e,Cabin_f,Cabin_g,Cabin_n
1,0,3.0,1.0,22.0,1.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1.0,0.0,38.0,1.0,0.0,71.2833,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,3.0,0.0,26.0,0.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1,1.0,0.0,35.0,1.0,0.0,53.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0,3.0,1.0,35.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0,3.0,1.0,45.5,0.0,0.0,8.4583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0,1.0,1.0,54.0,0.0,0.0,51.8625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,3.0,1.0,2.0,3.0,1.0,21.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,3.0,0.0,27.0,0.0,2.0,11.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,2.0,0.0,14.0,1.0,0.0,30.0708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,3.0,0.0,4.0,1.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,1,1.0,0.0,58.0,0.0,0.0,26.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0,3.0,1.0,20.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0,3.0,1.0,39.0,1.0,5.0,31.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0,3.0,0.0,14.0,0.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1,2.0,0.0,55.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0,3.0,1.0,2.0,4.0,1.0,29.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1,2.0,1.0,40.6,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0,3.0,0.0,31.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,1,3.0,0.0,23.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,0,2.0,1.0,35.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,1,2.0,1.0,34.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,1,3.0,0.0,15.0,0.0,0.0,8.0292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1,1.0,1.0,28.0,0.0,0.0,35.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,3.0,0.0,8.0,3.0,1.0,21.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,1,3.0,0.0,38.0,1.0,5.0,31.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0,3.0,1.0,32.5,0.0,0.0,7.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,1.0,1.0,19.0,3.0,2.0,263.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,3.0,0.0,21.7,0.0,0.0,7.8792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0,3.0,1.0,28.2,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,0,1.0,1.0,40.0,0.0,0.0,27.7208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,1,1.0,0.0,21.584,1.0,0.0,146.5208,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,3.0,0.0,21.1,0.0,0.0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0,2.0,1.0,66.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,0,1.0,1.0,28.0,1.0,0.0,82.1708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0,1.0,1.0,42.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,1,3.0,1.0,24.8,0.0,0.0,7.2292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0,3.0,1.0,21.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0,3.0,0.0,18.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1,3.0,0.0,14.0,1.0,0.0,11.2417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,3.0,0.0,40.0,1.0,0.0,9.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,0,2.0,0.0,27.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,0,3.0,1.0,29.8,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,2.0,0.0,3.0,1.0,2.0,41.5792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1,3.0,0.0,19.0,0.0,0.0,7.8792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,0,3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,0,3.0,1.0,32.0,1.0,0.0,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,1,3.0,0.0,21.1,0.0,0.0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,0,3.0,1.0,26.4,2.0,0.0,21.6792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,0,3.0,0.0,18.0,1.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,0,3.0,1.0,7.0,4.0,1.0,39.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,0,3.0,1.0,21.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,1,1.0,0.0,49.0,1.0,0.0,76.7292,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,1,2.0,0.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,0,1.0,1.0,65.0,0.0,1.0,61.9792,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,1.0,1.0,49.4,0.0,0.0,35.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,1,2.0,0.0,21.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,0,3.0,1.0,28.5,0.0,0.0,7.2292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,1,2.0,0.0,5.0,1.0,2.0,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,0,3.0,1.0,11.0,5.0,2.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,0,3.0,1.0,22.0,0.0,0.0,7.2292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,0,1.0,1.0,45.0,1.0,0.0,83.475,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,0,3.0,1.0,4.0,3.0,2.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,0,1.0,1.0,38.0,0.0,0.0,27.7208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,1,3.0,1.0,13.4,1.0,1.0,15.2458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,1,2.0,0.0,29.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,0,3.0,1.0,19.0,0.0,0.0,8.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,1,3.0,0.0,17.0,4.0,2.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,0,3.0,1.0,26.0,2.0,0.0,8.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,0,2.0,1.0,32.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,0,3.0,0.0,16.0,5.0,2.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,0,2.0,1.0,21.0,0.0,0.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,0,3.0,1.0,26.0,1.0,0.0,14.4542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,1,3.0,1.0,32.0,0.0,0.0,56.4958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,0,3.0,1.0,25.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,0,3.0,1.0,28.2,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,0,3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,1,2.0,1.0,0.83,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,1,3.0,0.0,30.0,0.0,0.0,12.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,0,3.0,1.0,22.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,1,3.0,1.0,29.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,1,3.0,0.0,21.1,0.0,0.0,7.7875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,0,1.0,1.0,28.0,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,1,2.0,0.0,17.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,1,3.0,0.0,33.0,3.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,0,3.0,1.0,16.0,1.0,3.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,0,3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,1,1.0,0.0,23.0,3.0,2.0,263.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,0,3.0,1.0,24.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,0,3.0,1.0,29.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,0,3.0,1.0,20.0,0.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,0,1.0,1.0,46.0,1.0,0.0,61.175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,0,3.0,1.0,26.0,1.0,2.0,20.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,0,3.0,1.0,59.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,0,3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,0,1.0,1.0,71.0,0.0,0.0,34.6542,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1,1.0,1.0,23.0,0.0,1.0,63.3583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,1,2.0,0.0,34.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,0,2.0,1.0,34.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,0,3.0,0.0,28.0,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,0,3.0,1.0,28.2,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,0,1.0,1.0,21.0,0.0,1.0,77.2875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,0,3.0,1.0,33.0,0.0,0.0,8.6542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,0,3.0,1.0,37.0,2.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,0,3.0,1.0,28.0,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,1,3.0,0.0,21.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,1,3.0,1.0,36.0,0.0,0.0,7.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,0,3.0,1.0,38.0,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,1,3.0,0.0,31.4,1.0,0.0,24.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,0,1.0,1.0,47.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,0,3.0,0.0,14.5,1.0,0.0,14.4542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,0,3.0,1.0,22.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,0,3.0,0.0,20.0,1.0,0.0,9.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,0,3.0,0.0,17.0,0.0,0.0,14.4583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,0,3.0,1.0,21.0,0.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,0,3.0,1.0,70.5,0.0,0.0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,0,2.0,1.0,29.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,0,1.0,1.0,24.0,0.0,1.0,247.5208,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0,3.0,0.0,2.0,4.0,2.0,31.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,0,2.0,1.0,21.0,2.0,0.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,0,3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,0,2.0,1.0,32.5,1.0,0.0,30.0708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,1,2.0,0.0,32.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125,0,1.0,1.0,54.0,0.0,1.0,77.2875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,1,3.0,1.0,12.0,1.0,0.0,11.2417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,0,3.0,1.0,45.5,0.0,0.0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,1,3.0,1.0,24.0,0.0,0.0,7.1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,1,3.0,0.0,17.6,1.0,1.0,22.3583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130,0,3.0,1.0,45.0,0.0,0.0,6.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,0,3.0,1.0,33.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,0,3.0,1.0,20.0,0.0,0.0,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,0,3.0,0.0,47.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,1,2.0,0.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,0,2.0,1.0,25.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,0,2.0,1.0,23.0,0.0,0.0,15.0458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,1,1.0,0.0,19.0,0.0,2.0,26.2833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138,0,1.0,1.0,37.0,1.0,0.0,53.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,0,3.0,1.0,16.0,0.0,0.0,9.2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,0,1.0,1.0,24.0,0.0,0.0,79.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0,3.0,0.0,20.4,0.0,2.0,15.2458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,1,3.0,0.0,22.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,1,3.0,0.0,24.0,1.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,0,3.0,1.0,19.0,0.0,0.0,6.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,0,2.0,1.0,18.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,0,2.0,1.0,19.0,1.0,1.0,36.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,1,3.0,1.0,27.0,0.0,0.0,7.7958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,0,3.0,0.0,9.0,2.0,2.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,0,2.0,1.0,36.5,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,0,2.0,1.0,42.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,0,2.0,1.0,51.0,0.0,0.0,12.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,1,1.0,0.0,22.0,1.0,0.0,66.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,0,3.0,1.0,55.5,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,0,3.0,1.0,40.5,0.0,2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,0,3.0,1.0,33.9,0.0,0.0,7.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,0,1.0,1.0,51.0,0.0,1.0,61.3792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,1,3.0,0.0,16.0,0.0,0.0,7.7333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158,0,3.0,1.0,30.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,0,3.0,1.0,24.6,0.0,0.0,8.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,0,3.0,1.0,37.0,8.0,2.0,69.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,0,3.0,1.0,44.0,0.0,1.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,1,2.0,0.0,40.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,0,3.0,1.0,26.0,0.0,0.0,7.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164,0,3.0,1.0,17.0,0.0,0.0,8.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,0,3.0,1.0,1.0,4.0,1.0,39.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,1,3.0,1.0,9.0,0.0,2.0,20.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,1,1.0,0.0,33.8,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
168,0,3.0,0.0,45.0,1.0,4.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
169,0,1.0,1.0,55.2,0.0,0.0,25.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,0,3.0,1.0,28.0,0.0,0.0,56.4958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
171,0,1.0,1.0,61.0,0.0,0.0,33.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0,3.0,1.0,4.0,4.0,1.0,29.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,1,3.0,0.0,1.0,1.0,1.0,11.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,0,3.0,1.0,21.0,0.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,0,1.0,1.0,56.0,0.0,0.0,30.6958,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,3.0,1.0,18.0,1.0,1.0,7.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177,0,3.0,1.0,31.6,3.0,1.0,25.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,0,1.0,0.0,50.0,0.0,0.0,28.7125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
